year,b_med,bref_lwr,bref_upr,bref_med,bref_log_mean,bref_log_sd,catch
1956,32454.25,11727.1775,94423.7325,32454.25,10.3818,0.4992,1484.614
1957,27149.35,11233.12,79506.1725,27149.35,10.2217,0.4697,1674.569
1958,22188.8,9504.899,66435.555,22188.8,10.0255,0.4745,797.311
1959,18459.7,7418.5855,55809.02,18459.7,9.8331,0.4911,925.974
1960,15085.9,5553.031,47015.305,15085.9,9.6255,0.5164,616.445
1961,12902.35,4249.899,40665.5675,12902.35,9.4571,0.5437,516.058
1962,12362.75,4519.2245,39759.0575,12362.75,9.4344,0.537,836.313
1963,26970.6,7791.1377,80719.8525,26970.6,10.1778,0.5558,1185.335
1964,35232.65,11576.92,100213.125,35232.65,10.4531,0.5057,2022.051
1965,37523.3,13974.8525,105081.075,37523.3,10.528,0.4768,2704.086
1966,35640,18538.0575,98835.3375,35640,10.5137,0.4204,3383.69
1967,29096.7,12972.8775,85636.3325,29096.7,10.2957,0.468,1824.96
1968,24112.1,9032.9738,72714.03,24112.1,10.0864,0.508,1081.299
1969,21159.15,7422.3138,65401.535,21159.15,9.9502,0.5284,944.66
1970,23033.7,9561.4252,71264.33,23033.7,10.062,0.5006,1636.113
1971,57197,19306.35,156858.925,57197,10.9394,0.4876,5023.972
1972,62685.35,25211.8725,173874.025,62685.35,11.0476,0.4633,5719.909
1973,55519.5,17980.0925,162410.225,55519.5,10.9055,0.5198,3085.361
1974,52474.45,19818.0325,151829.4,52474.45,10.8667,0.4844,3932.589
1975,48912.3,18874.785,143351.225,48912.3,10.8039,0.4809,4237.299
1976,45303.3,17662.58,131343.05,45303.3,10.728,0.473,3868.108
1977,40208.3,16534.605,116573.275,40208.3,10.6151,0.4675,3001.538
1978,34485.6,17831.2875,99983.5275,34485.6,10.4916,0.4293,2272.447
1979,28637.3,14763.895,83580.1175,28637.3,10.3039,0.4337,2284.213
1980,22676,10504.94,68522.5675,22676,10.0572,0.461,1413.589
1981,18358.85,7913.776,55514.4975,18358.85,9.8338,0.4769,1521.253
1982,14416.9,5402.5378,45440.1925,14416.9,9.5747,0.5174,609.733
1983,12355.35,4798.394,38668.14,12355.35,9.4277,0.5046,883.749
1984,10458.5,3900.4763,33308.465,10458.5,9.2553,0.521,507.845
1985,9142.47,3259.3915,29370.685,9142.47,9.1186,0.533,440.309
1986,8107.665,2859.0817,26729.91,8107.665,9.0033,0.5382,440.7086
1987,25920.8,7179.1183,84332.3175,25920.8,10.128,0.6117,1401.9243
1988,38217.65,14613.055,106632.625,38217.65,10.5492,0.47,3156.2156
1989,37060.6,17228.7625,104125.125,37060.6,10.5386,0.4416,1961.5677
1990,32494.15,13095.0125,92102.83,32494.15,10.3904,0.4701,2080.289
1991,27768.35,10991.5025,80537.6225,27768.35,10.234,0.4763,2970.8437
1992,23269.8,11291.855,69792.795,23269.8,10.0843,0.4472,2230.732
1993,18714.45,9153.6218,58148.925,18714.45,9.8696,0.4566,2092.5224
1994,14312.65,6094.5745,47266.615,14312.65,9.5829,0.5071,816.3389
1995,11630.7,4580.381,39193.3725,11630.7,9.3603,0.5318,255.3971
1996,10625.85,4575.8073,36009.21,10625.85,9.2855,0.5104,154.7181
1997,9398.6,4021.7848,31993.31,9398.6,9.1644,0.5173,145.3778
1998,8353.26,3406.6987,28796.8125,8353.26,9.0376,0.5331,60.5126
1999,8359.405,3350.686,28671.2075,8359.405,9.0412,0.5401,82.8668
2000,9096.75,3615.196,31730.98,9096.75,9.1245,0.5447,142.2748
2001,12024,4987.9875,41711.1975,12024,9.41,0.5289,357.8096
2002,14118.55,5623.932,50025.5225,14118.55,9.5624,0.5413,203.9044
2003,15134.9,6519.5688,51305.05,15134.9,9.6557,0.4941,503.0579
2004,13319.9,5642.6155,46215.4475,13319.9,9.5267,0.5074,446.3758
2005,10996.25,4573.5995,38572.855,10996.25,9.3257,0.5258,294.641
2006,8907.1,3541.6045,31632.8925,8907.1,9.1006,0.5473,153.2166
2007,7585.84,2830.5285,27041.8925,7585.84,8.9304,0.5695,67.7819
2008,7308.815,2761.0813,26175.905,7308.815,8.8994,0.5691,111.1815
2009,16312.4,6262.5853,58170.6475,16312.4,9.6988,0.5548,420.883
2010,21235.75,8999.269,73777.97,21235.75,9.9874,0.5151,601.83
2011,20846.45,8729.3305,73406.775,20846.45,9.9626,0.5278,512.1055
2012,18681.35,7479.5642,67168.525,18681.35,9.8398,0.5464,417.6556
2013,20891.25,8210.0375,73062.835,20891.25,9.9467,0.5423,389.3841
2014,25536.9,10687.3275,91105.82,25536.9,10.1646,0.5213,454.031
2015,25622.05,10843.1125,91211.49,25622.05,10.1757,0.5157,448.7707
2016,23036.8,9571.1545,81849.7,23036.8,10.0584,0.5261,325.267
2017,19719.3,7827.3615,69873.5325,19719.3,9.8859,0.5475,164.4691
2018,18134.85,7089.697,62522.0725,18134.85,9.8151,0.5422,4.3471
2019,16817.45,7100.3092,57754.005,16817.45,9.7543,0.5225,NA
