assessment_species,dfo_area,old_spp_regions_2021,stock_clean,type,species,region,notes
arrowtooth,BC,arrowtooth_BC,Arrowtooth Flounder BC,Flatfish,Arrowtooth Flounder,Coast-wide trawl surveys,
bocaccio,BC,bocaccio_BC,Bocaccio BC,Rockfish,Bocaccio,Coast-wide trawl surveys,
canary,BC,canary_BC,Canary BC,Rockfish,Canary Rockfish,Coast-wide trawl surveys,
lingcod,4B,lingcod_4B,Lingcod 4B,Roundfish,Lingcod,HBLL inside surveys,
pacific-ocean-perch,3CD,pacific_ocean_perch_3CD,Pacific Ocean Perch 3CD,Rockfish,Pacific Ocean Perch,WCVI only,
pacific-ocean-perch,5ABC,pacific_ocean_perch_5ABC,Pacific Ocean Perch 5ABC,Rockfish,Pacific Ocean Perch,QCS only,
pacific-ocean-perch,5DE,pacific_ocean_perch_5DE,Pacific Ocean Perch 5DE,Rockfish,Pacific Ocean Perch,WCHG only,
pcod,3CD,pcod_3CD,Pacific Cod 3CD,Cod,Pacific Cod,WCVI only,
pcod,5abcd,pcod_5abcd,Pacific Cod 5ABCD,Cod,Pacific Cod,Both odd year trawl surveys,
quillback,4B,quillback_4B,Quillback VI Inside,Rockfish,Quillback Rockfish,HBLL inside surveys,
redstripe rockfish,BC North,redstripe_rockfish_BC_North,Redstripe Rockfish BC N,Rockfish,Redstripe Rockfish,WCHG only,
redstripe rockfish,BC South,redstripe_rockfish_BC_South,Redstripe Rockfish BC S,Rockfish,Redstripe Rockfish,QCS & WCVI,
rocksole,5AB,rocksole_5AB,Rocksole 5AB,Flatfish,Southern Rock Sole,QCS only,
rocksole,5CD,rocksole_5CD,Rocksole 5CD,Flatfish,Southern Rock Sole,HS only,
rougheye/blackspotted,BC North,rougheye/blackspotted_BC_North,Rougheye/Blacksp. BC N,Rockfish,Rougheye/Blackspotted Rockfish Complex,WCHG only,
rougheye/blackspotted,BC South,rougheye/blackspotted_BC_South,Rougheye/Blacksp. BC S,Rockfish,Rougheye/Blackspotted Rockfish Complex,QCS & WCVI,
sablefish,BC,sablefish_BC,Sablefish BC,Cod allies,Sablefish,Coast-wide trawl surveys,
